number,label
1,Is talkative
2,Tends to find fault with others (R) 
3,Does a thorough job
4,"Is depressed, blue "
5,"Is original, comes up with new ideas "
6,Is reserved (R) 
7,Is helpful and unselfish with others
8,Can be somewhat careless (R) 
9,"Is relaxed, handles stress well (R) "
10,Is curious about many different things 
11,Is full of energy 
12,Starts quarrels with others (R) 
13,Is a reliable worker
14,Can be tense 
15,"Is ingenious, a deep thinker"
16,Generates a lot of enthusiasm 
17,Has a forgiving nature 
18,Tends to be disorganized (R) 
19,Worries a lot
20,Has an active imagination
21,Tends to be quiet (R) 
22,Is generally trusting
23,Tends to be lazy (R) 
24,"Is emotionally stable, not easily upset (R) "
25,Is inventive
26,Has an assertive personality
27,Can be cold and aloof (R) 
28,Perseveres until the task is finished
29,Can be moody
30,"Values artistic, aesthetic experiences"
31,"Is sometimes shy, inhibited (R) "
32,Is considerate and kind to almost everyone
33,Does things efficiently
34,Remains calm in tense situations (R) 
35,Prefers work that is routine (R) 
36,"Is outgoing, sociable"
37,Is sometimes rude to others (R) 
38,Makes plans and follows through with them
39,Gets nervous easily
40,"Likes to reflect, play with ideas"
41,Has few artistic interests (R) 
42,Likes to cooperate with others
43,Is easily distracted (R) 
44,"Is sophisticated in art, music, or literature"
